"Work_Ref__c","Description__c","State__c","Constituency__c","Implementing_Agency__c","MP_Name__c","Recommended_Amount__c","Exposure__c","Audit_ROI__c","Priority__c","Confidence_Band__c","Signal_Families__c","Work_Type__c","Recommendation_Date__c","Work_Status__c","Evidence_Summary__c","Recommended_Next_Step__c","Suggested_Actions__c","Early_Warning_Level__c","Early_Warning_Reason__c","Compliance_Findings__c","Escalation_Tier__c","Target_Review_Date__c","Investigation_Status__c","Officer_Finding__c","Not_A_Fraud_Finding__c"
"MP3018940-W51863","Construction of 1000KL drinking water tank at Hill station, near Balajinagar Zone-1 of 29th ward of ST area Jangareddygudem Municipality","Andhra Pradesh","ELURU","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Kotagiri Sridhar","5000000.00","1037581.00","4821360.00","0.9293","HIGH","4","Water tank - installation water - submersible pump","2023-11-22","Open","Peer amount: Recommended amount at the 100th percentile of 44 comparable works (robust z 14.9).; Peer duration: Open for longer than 91% of comparable works still in progress.; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 83%). Before/after - 2023: 6 works at a median of Rs 2,309,328 -> 2024: 124 works at a median of Rs 400,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","No stalling indicators; the work is progressing within normal ranges.","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3017324-W244462","Construction of a CC road from the main road in Ward No. 35, Mu. Shatabdipuram, passing by the house of Dr. T.N. Dubey, journalist, up to the houses of Banshidhar Nishad, Prahlad Mall, and Rajesh Shukla.","Uttar Pradesh","Sitting Rajya Sabha","GORAKHPUR(DISTRICT MAGISTRATE GORAKHPUR_IDA)","Dr. Radha Mohan Das Agrawal","4694000.00","1364905.00","4802036.00","0.8796","HIGH","3","CC road - construction cc - cc building","2025-10-29","Open","Peer amount: Recommended amount at the 100th percentile of 7203 comparable works (robust z 8.0).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 262 works at a median of Rs 287,000 -> 2025: 69 works at a median of Rs 1,180,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","No stalling indicators; the work is progressing within normal ranges.","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3044251-W155524","Construction of the following for the Development of playground at Shangshak Phunghon; 1) Construction of Stage & Ceiling 2) Ground development 3) Gallery Block- 1 4) Gallery Block- 2 5) Gallery Block- 3 6) Retaining Wall- Eastern side","Manipur","OUTER MANIPUR(ST)","UKHRUL(Deputy Commissioner Ukhrul_ida)","ALFRED KANNGAM S ARTHUR","11000000.00","1360781.00","4787526.00","0.8796","HIGH","3","Construction building - community building - cultural activities","2024-11-28","Open","Peer amount: Recommended amount at the 100th percentile of 675 comparable works (robust z 23.9).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 12 works at a median of Rs 600,000 -> 2025: 9 works at a median of Rs 3,500,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","No stalling indicators; the work is progressing within normal ranges.","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3042566-W155197","Construction of CC Roads at Ward No. 30","Karnataka","Sitting Rajya Sabha","BALLARI(DEPUTY COMMISSIONER BELLARY_IDA)","Dr. Syed Naseer Hussain","10000000.00","1353405.00","4761576.00","0.8796","HIGH","3","CC road - construction cc - cc building","2024-11-26","Open","Peer amount: Recommended amount at the 100th percentile of 1855 comparable works (robust z 6294.4).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 23 works at a median of Rs 300,000 -> 2024: 26 works at a median of Rs 1,675,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","LOW - open 1.3x longer than the typical completed work of this type in Karnataka (407 days).","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3017485-W141110","2 storied building for skill development centre","West Bengal","BARASAT","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Kakoli Ghosh Dastidar","11000000.00","1353340.00","4761346.00","0.8796","HIGH","3","Construction building - community building - cultural activities","2024-09-15","Open","Peer amount: Recommended amount at the 100th percentile of 401 comparable works (robust z 14.4).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 156 works at a median of Rs 500,000 -> 2026: 29 works at a median of Rs 1,100,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","LOW - open 1.5x longer than the typical completed work of this type in West Bengal (407 days).","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3019221-W27287","CONSTRUCTION OF COMMUNITY CENTRE","Uttar Pradesh","BALLIA","BALLIA(DISTRICT MAGISTRAE BALLIA_IDA)","Virendra Singh(17th Lok Sabha)","5100000.00","1449115.00","4751697.00","0.8198","HIGH","3","Community centre - construction community - community center","2023-09-27","Open","Peer amount: Recommended amount at the 100th percentile of 308 comparable works (robust z 6.7).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 52%). Before/after - 2025: 135 works at a median of Rs 448,000 -> 2026: 224 works at a median of Rs 216,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","LOW - open 1.4x longer than the typical completed work of this type in Uttar Pradesh (683 days).","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3042485-W221826","Construction of RCC single storied framed structure building at Medical Service Centre Niramay under Ramkrishna Mission, Viveknagar, Dukli Agartala, West Tripura","Tripura","TRIPURA WEST","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","BIPLAB KUMAR DEB","10000000.00","1347588.00","4740935.00","0.8795","HIGH","3","Building - sahebganj construction - temple","2025-07-24","Open","Peer amount: Recommended amount at the 100th percentile of 16171 comparable works (robust z 7.9).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 109 works at a median of Rs 205,000 -> 2024: 39 works at a median of Rs 942,500. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","No stalling indicators; the work is progressing within normal ranges.","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3017389-W222829","Purchase of Blood Collection Van for Civil Hospital, SOLA, Ahmedabad","Gujarat","GANDHINAGAR","AHMADABAD(DISTRICT COLLECTOR AHMADABAD_IDA)","Shri Amit Shah","5000000.00","1369101.00","4705709.00","0.8593","HIGH","3","Installation cctv - cctv cameras - cctv camera","2025-07-28","Open","Peer amount: Recommended amount at the 95th percentile of 45 comparable works (robust z 4.0).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 262 works at a median of Rs 249,853 -> 2024: 108 works at a median of Rs 499,448. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","No stalling indicators; the work is progressing within normal ranges.","","District Monitoring","2026-06-09","New","","TRUE"
"MP3017305-W70361","Construction Bus Terminus @ Muthamizh Kalaignar Nootrandu Vizha Ninaivu Bus stop in Kumarannagar, in Kolathur MLA Constituency.","Tamil Nadu","Sitting Rajya Sabha","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Shri R. Girirajan","10000000.00","1002189.00","4702994.00","0.9385","HIGH","4","Bus shelter - bus stop - bus stand","2023-12-27","Open","Peer amount: Recommended amount at the 99th percentile of 1462 comparable works (robust z 19.5).; Peer duration: Open for longer than 95% of comparable works still in progress.; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 94%). Before/after - 2023: 50 works at a median of Rs 1,134,160 -> 2024: 73 works at a median of Rs 2,195,272. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","LOW - open 2.1x longer than the typical completed work of this type in Tamil Nadu (412 days).","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3019160-W51008","Construction of New Community Centre @ Murunellikottai Panchayat","Tamil Nadu","DINDIGUL","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","P Velusamy(17th Lok Sabha)","4500000.00","994025.00","4670970.00","0.9398","HIGH","4","Community centre - construction community - community center","2023-11-21","Open","Peer amount: Recommended amount at the 93th percentile of 598 comparable works (robust z 7.1).; Peer duration: Open for longer than 91% of comparable works still in progress.; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 58 works at a median of Rs 399,063 -> 2025: 74 works at a median of Rs 1,000,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","LOW - open 1.7x longer than the typical completed work of this type in Tamil Nadu (529 days).","","District Monitoring","2026-06-09","New","","TRUE"
"MP3042546-W156804","Construction of vented causeway bridge at Parang Khal in between Jugdiha and Gohaldihi","West Bengal","MEDINIPUR","Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA)","JUNE MALIAH","7429927.00","1327891.00","4668182.00","0.8789","HIGH","3","Construction road - construction ambulance - apex road","2024-12-03","Open","Peer amount: Recommended amount at the 100th percentile of 66 comparable works (robust z 7.1).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 230 works at a median of Rs 349,867 -> 2026: 36 works at a median of Rs 2,750,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","LOW - open 1.8x longer than the typical completed work of this type in West Bengal (300 days).","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3043284-W204089","Construction of Social Welfare Boys Hostel at undavelle","Telangana","NAGARKURNOOL(SC)","JOGULAMBA GADWAL(DISTRICT COLLECTOR JOGULAMBA GADWAL_IDA)","DR.MALLU RAVI","10000000.00","1326723.00","4667705.00","0.8796","HIGH","3","Classroom - high school - primary school","2025-05-27","Open","Peer amount: Recommended amount at the 98th percentile of 4407 comparable works (robust z 12.5).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 47 works at a median of Rs 200,000 -> 2026: 12 works at a median of Rs 500,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","LOW - open 1.9x longer than the typical completed work of this type in Telangana (190 days).","","District Monitoring","2026-06-09","New","","TRUE"
"MP3017342-W162586","construction of interlocking road in gram sabha sahesipur near sumahiya talab link road to yadav basti,pal basti via kantair and avdesh vishwakarma house till dihwa saheshpur power house upto link road 1000*2.5mtr","Uttar Pradesh","Sitting Rajya Sabha","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","Smt. Jaya Amitabh Bachchan","4712000.00","1338915.00","4661148.00","0.8703","HIGH","3","Interlocking tiles - construction interlocking - interlocking road","2024-12-30","Open","Peer amount: Recommended amount at the 100th percentile of 7203 comparable works (robust z 8.1).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 92%). Before/after - 2023: 23 works at a median of Rs 1,552,000 -> 2024: 206 works at a median of Rs 118,971. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","LOW - open 1.7x longer than the typical completed work of this type in Uttar Pradesh (307 days).","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3017342-W162587","construction of interlocking road in bhaidpur(hameedpatti) near talaab via yadav basti,chauhan basti,chaura mata mandir next to kallu yadav house till railway line. 1000*2.5mtr","Uttar Pradesh","Sitting Rajya Sabha","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","Smt. Jaya Amitabh Bachchan","4712000.00","1338915.00","4661148.00","0.8703","HIGH","3","Interlocking tiles - construction interlocking - interlocking road","2024-12-30","Open","Peer amount: Recommended amount at the 100th percentile of 7203 comparable works (robust z 8.1).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 92%). Before/after - 2023: 23 works at a median of Rs 1,552,000 -> 2024: 206 works at a median of Rs 118,971. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","LOW - open 1.7x longer than the typical completed work of this type in Uttar Pradesh (307 days).","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3042558-W144148","Redcross New Building Work Part 2","Gujarat","Sitting Rajya Sabha","PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA)","Dr. Parmar Jashvantsinh Salamsinh","5000000.00","1401061.00","4658227.00","0.8312","HIGH","3","Sitting bench - rcc benches - RCC","2024-09-28","Open","Peer amount: Recommended amount at the 98th percentile of 43 comparable works (robust z 7.7).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 60%). Before/after - 2024: 63 works at a median of Rs 100,000 -> 2025: 478 works at a median of Rs 160,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","LOW - open 1.5x longer than the typical completed work of this type in Gujarat (412 days).","","District Monitoring","2026-06-09","New","","TRUE"
"MP3017242-W259562","Construction of 6 class rooms and other works to Govt Higher primary school at Srinivas Saradgi village in Kalaburagi Taluka (SCP)","Karnataka","Sitting Rajya Sabha","KALABURAGI(DEPUTY COMMISSIONER GULBARGA_IDA)","Shri Mallikarjun Kharge","10000000.00","1319306.00","4641609.00","0.8796","HIGH","3","Class room - construction class - school","2026-01-29","Open","Peer amount: Recommended amount at the 99th percentile of 120 comparable works (robust z 424.3).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 41 works at a median of Rs 499,000 -> 2026: 49 works at a median of Rs 3,400,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","No stalling indicators; the work is progressing within normal ranges.","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3017368-W239492","Construction of new building of Dolasahi Government U.P.M.E. School, Dolasahi, Bhadrak.","Odisha","Sitting Rajya Sabha","BHADRAK(DISTRICT COLLECTOR BHADRAK_IDA)","Shri Ashwini Vaishnaw","10000000.00","1379230.00","4630938.00","0.8394","HIGH","3","Classroom - high school - primary school","2025-10-03","Open","Peer amount: Recommended amount at the 100th percentile of 463 comparable works (robust z 32.0).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 67%). Before/after - 2024: 89 works at a median of Rs 300,000 -> 2025: 99 works at a median of Rs 500,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","No stalling indicators; the work is progressing within normal ranges.","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3018396-W93498","Construction of Bus Shelter in Tharamani Bus Stop (Tharamani Bus Depo)","Tamil Nadu","CHENNAI SOUTH","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","T Sumathy (A) Thamizhachi Thangapandian","6000000.00","1325194.00","4621201.00","0.8718","HIGH","3","Bus shelter - bus stop - bus stand","2024-02-01","Open","Peer amount: Recommended amount at the 100th percentile of 679 comparable works (robust z 14.2).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 94%). Before/after - 2023: 50 works at a median of Rs 1,134,160 -> 2024: 73 works at a median of Rs 2,195,272. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","No stalling indicators; the work is progressing within normal ranges.","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3018373-W96613","Design, Fabrication, & Installation of Stainless - Steel Bus Passengers Sheds/Shelters Multiple Bus Stops in Chatra Parliamentary Constituency.","Jharkhand","CHATRA","CHATRA(DEPUTY COMMISSIONER CHATRA_IDA)","Sunil Kumar Singh","9999600.00","1317033.00","4617747.00","0.8765","HIGH","3","Bus - sheds - waiting shed","2024-02-04","Open","Peer amount: Recommended amount at the 100th percentile of 32 comparable works (robust z 130.0).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 97%). Before/after - 2024: 7 works at a median of Rs 6,000,000 -> 2025: 278 works at a median of Rs 150,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","LOW - open 1.4x longer than the typical completed work of this type in Jharkhand (604 days).","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3043488-W211195","Construction of concrete drain from the house of Shri Pramod Yadav to the shop of Shri Subhash in Gram Nagla Sahora distance about 650 meters By Shri Ajit Singh Pradhan Gram Panchayat Arifpur Vivakh Saurikh District Kannauj Ajit 838416003","Uttar Pradesh","KANNAUJ","KANNAUJ(DISTRICT MAGISTRATE KANNAUJ_IDA)","AKHILESH YADAV","4630000.00","1315624.00","4610192.00","0.8760","HIGH","3","Construction culvert - construction drain - road","2025-06-22","Open","Peer amount: Recommended amount at the 100th percentile of 38 comparable works (robust z 7.9).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 97%). Before/after - 2025: 56 works at a median of Rs 700,000 -> 2026: 23 works at a median of Rs 20,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","No stalling indicators; the work is progressing within normal ranges.","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3019016-W101111","Construction of Community Shed, Village Gadena (Vermi), Block Khoon, District Udhampur.","Jammu And Kashmir","UDHAMPUR","UDHAMPUR(Deputy Commissioner Udhampur_IDA)","Jitendra Singh","7244000.00","1294767.00","4594782.00","0.8872","HIGH","3","Construction shed - waiting shed - construction common","2024-02-22","Open","Peer amount: Recommended amount at the 100th percentile of 35 comparable works (robust z 22.1).; Peer duration: Open for longer than 97% of comparable works still in progress.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","LOW - open 1.8x longer than the typical completed work of this type in Jammu And Kashmir (470 days).","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3018936-W241839","Construction of Community Hall at Chuchukonda Village of Mungapaka Mandal","Andhra Pradesh","ANAKAPALLE","Anakapalli(DISTRICT COLLECTOR ANAKAPALLI_IDA)","Beesetti Venkata Satyavathi","5000000.00","976098.00","4579876.00","0.9384","HIGH","4","Community hall - construction community - hall village","2023-08-28","Open","Peer amount: Recommended amount at the 96th percentile of 568 comparable works (robust z 5.4).; Peer duration: Open for longer than 93% of comparable works still in progress.; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 31 works at a median of Rs 117,098 -> 2025: 25 works at a median of Rs 599,562. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","LOW - open 1.4x longer than the typical completed work of this type in Andhra Pradesh (714 days).","","District Monitoring","2026-06-09","New","","TRUE"
"MP3042546-W208639","Construction of Bridge over Kushmi Khal at Beniadiha in between Pabnia and Indra under Baghasti GP","West Bengal","MEDINIPUR","Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA)","JUNE MALIAH","7285644.00","1302116.00","4576578.00","0.8787","HIGH","3","Construction road - construction ambulance - apex road","2025-06-13","Open","Peer amount: Recommended amount at the 98th percentile of 66 comparable works (robust z 6.9).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 230 works at a median of Rs 349,867 -> 2026: 36 works at a median of Rs 2,750,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","No stalling indicators; the work is progressing within normal ranges.","","District Monitoring","2026-06-09","New","","TRUE"
"MP3019000-W12085","Red Cross Society New Building Construction Work at Sahera","Gujarat","PANCHMAHAL","PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA)","Ratansinh Magansinh Rathod","5000000.00","989615.00","4572615.00","0.9241","HIGH","4","Construction building - community building - cultural activities","2023-08-22","Open","Peer amount: Recommended amount at the 100th percentile of 148 comparable works (robust z 62.1).; Peer duration: Open for longer than 100% of comparable works still in progress.; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 60%). Before/after - 2024: 63 works at a median of Rs 100,000 -> 2025: 478 works at a median of Rs 160,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","LOW - open 2.0x longer than the typical completed work of this type in Gujarat (509 days).","Stalled beyond peer norm (STATISTICAL_OUTLIER); Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3017323-W207135","Interlocking with Drainage","Uttar Pradesh","Sitting Rajya Sabha","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Dr. Laxmikant Bajpayee","7359000.00","970687.00","4567935.00","0.9412","HIGH","4","Construction culvert - construction drain - road","2025-06-07","Open","Peer amount: Recommended amount at the 100th percentile of 4191 comparable works (robust z 55.9).; Peer duration: Open for longer than 93% of comparable works still in progress.; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 47 works at a median of Rs 300,000 -> 2025: 62 works at a median of Rs 977,500. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","No stalling indicators; the work is progressing within normal ranges.","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
