"Work_Ref__c","Investigation_Case__r.Work_Ref__c","Signal__c","Family__c","Detail__c"
"MP3018989-W131578","MP3018989-W131578","Peer amount","amount","Recommended amount at the 100th percentile of 174 comparable works (robust z 10.0)."
"MP3018989-W131578","MP3018989-W131578","Peer duration","duration","Open for longer than 92% of comparable works still in progress."
"MP3018989-W131578","MP3018989-W131578","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 66 works at a median of Rs 860,971 -> 2026: 13 works at a median of Rs 1,917,200. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3018989-W131578","MP3018989-W131578","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019999-W123871","MP3019999-W123871","Peer amount","amount","Recommended amount at the 99th percentile of 791 comparable works (robust z 18.1)."
"MP3019999-W123871","MP3019999-W123871","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 65%). Before/after - 2025: 41 works at a median of Rs 819,952 -> 2026: 12 works at a median of Rs 284,534. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019999-W123871","MP3019999-W123871","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3020003-W163388","MP3020003-W163388","Peer amount","amount","Recommended amount at the 99th percentile of 223 comparable works (robust z 9.8)."
"MP3020003-W163388","MP3020003-W163388","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 75%). Before/after - 2024: 9 works at a median of Rs 1,713,944 -> 2025: 24 works at a median of Rs 421,700. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3020003-W163388","MP3020003-W163388","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019059-W33389","MP3019059-W33389","Peer amount","amount","Recommended amount at the 100th percentile of 34 comparable works (robust z 29.1)."
"MP3019059-W33389","MP3019059-W33389","Peer duration","duration","Open for longer than 100% of comparable works still in progress."
"MP3019059-W33389","MP3019059-W33389","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 83%). Before/after - 2025: 43 works at a median of Rs 720,000 -> 2026: 5 works at a median of Rs 125,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019059-W33389","MP3019059-W33389","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042499-W258729","MP3042499-W258729","Peer amount","amount","Recommended amount at the 100th percentile of 7203 comparable works (robust z 8.9)."
"MP3042499-W258729","MP3042499-W258729","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 155 works at a median of Rs 145,000 -> 2026: 19 works at a median of Rs 962,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042499-W258729","MP3042499-W258729","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3045895-W212607","MP3045895-W212607","Peer amount","amount","Recommended amount at the 100th percentile of 1941 comparable works (robust z 12.1)."
"MP3045895-W212607","MP3045895-W212607","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2022: 6 works at a median of Rs 685,196 -> 2023: 9 works at a median of Rs 2,374,734. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3045895-W212607","MP3045895-W212607","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017413-W131675","MP3017413-W131675","Peer amount","amount","Recommended amount at the 100th percentile of 1516 comparable works (robust z 13.5)."
"MP3017413-W131675","MP3017413-W131675","Peer duration","duration","Open for longer than 91% of comparable works still in progress."
"MP3017413-W131675","MP3017413-W131675","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 313 works at a median of Rs 176,468 -> 2025: 173 works at a median of Rs 400,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017413-W131675","MP3017413-W131675","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017308-W236555","MP3017308-W236555","Peer amount","amount","Recommended amount at the 92th percentile of 319 comparable works (robust z 20.2)."
"MP3017308-W236555","MP3017308-W236555","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 21 works at a median of Rs 235,995 -> 2024: 153 works at a median of Rs 886,945. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017308-W236555","MP3017308-W236555","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017417-W157751","MP3017417-W157751","Peer amount","amount","Recommended amount at the 97th percentile of 36 comparable works (robust z 7.9)."
"MP3017417-W157751","MP3017417-W157751","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 235 works at a median of Rs 249,000 -> 2026: 20 works at a median of Rs 530,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017417-W157751","MP3017417-W157751","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017338-W200404","MP3017338-W200404","Peer amount","amount","Recommended amount at the 97th percentile of 65 comparable works (robust z 4.0)."
"MP3017338-W200404","MP3017338-W200404","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 192 works at a median of Rs 50,000 -> 2024: 21 works at a median of Rs 780,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017338-W200404","MP3017338-W200404","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017278-W251724","MP3017278-W251724","Peer amount","amount","Recommended amount at the 98th percentile of 1038 comparable works (robust z 14.0)."
"MP3017278-W251724","MP3017278-W251724","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 5 works at a median of Rs 1,000,000 -> 2025: 11 works at a median of Rs 2,000,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017278-W251724","MP3017278-W251724","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3018989-W131812","MP3018989-W131812","Peer amount","amount","Recommended amount at the 96th percentile of 16171 comparable works (robust z 6.6)."
"MP3018989-W131812","MP3018989-W131812","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 66 works at a median of Rs 860,971 -> 2026: 13 works at a median of Rs 1,917,200. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3018989-W131812","MP3018989-W131812","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3018396-W93503","MP3018396-W93503","Peer amount","amount","Recommended amount at the 99th percentile of 124 comparable works (robust z 16.2)."
"MP3018396-W93503","MP3018396-W93503","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 94%). Before/after - 2023: 50 works at a median of Rs 1,134,160 -> 2024: 73 works at a median of Rs 2,195,272. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3018396-W93503","MP3018396-W93503","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017341-W198845","MP3017341-W198845","Peer amount","amount","Recommended amount at the 100th percentile of 602 comparable works (robust z 9.9)."
"MP3017341-W198845","MP3017341-W198845","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 47 works at a median of Rs 300,000 -> 2025: 62 works at a median of Rs 977,500. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017341-W198845","MP3017341-W198845","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019166-W42070","MP3019166-W42070","Peer amount","amount","Recommended amount at the 97th percentile of 598 comparable works (robust z 8.1)."
"MP3019166-W42070","MP3019166-W42070","Peer duration","duration","Open for longer than 93% of comparable works still in progress."
"MP3019166-W42070","MP3019166-W42070","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019166-W42070","MP3019166-W42070","Near-duplicate work","duplication","A work in the same state and archetype is 100.0% semantically similar (MP3019166-W42069). Repeated descriptions are common in this scheme, so a human should confirm these are genuinely separate works."
"MP3017476-W34848","MP3017476-W34848","Peer amount","amount","Recommended amount at the 100th percentile of 7203 comparable works (robust z 8.5)."
"MP3017476-W34848","MP3017476-W34848","Peer duration","duration","Open for longer than 95% of comparable works still in progress."
"MP3017476-W34848","MP3017476-W34848","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042496-W274517","MP3042496-W274517","Peer amount","amount","Recommended amount at the 100th percentile of 4191 comparable works (robust z 68.9)."
"MP3042496-W274517","MP3042496-W274517","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 171 works at a median of Rs 19,926 -> 2025: 22 works at a median of Rs 1,716,646. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042496-W274517","MP3042496-W274517","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3023812-W150710","MP3023812-W150710","Peer amount","amount","Recommended amount at the 100th percentile of 1971 comparable works (robust z 29.0)."
"MP3023812-W150710","MP3023812-W150710","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 70%). Before/after - 2025: 108 works at a median of Rs 586,716 -> 2026: 7 works at a median of Rs 1,000,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3023812-W150710","MP3023812-W150710","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017458-W24000","MP3017458-W24000","Peer amount","amount","Recommended amount at the 100th percentile of 53 comparable works (robust z 13.9)."
"MP3017458-W24000","MP3017458-W24000","Peer duration","duration","Open for longer than 94% of comparable works still in progress."
"MP3017458-W24000","MP3017458-W24000","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017455-W167531","MP3017455-W167531","Peer amount","amount","Recommended amount at the 100th percentile of 1462 comparable works (robust z 30.0)."
"MP3017455-W167531","MP3017455-W167531","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 94%). Before/after - 2023: 50 works at a median of Rs 1,134,160 -> 2024: 73 works at a median of Rs 2,195,272. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017455-W167531","MP3017455-W167531","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3023700-W228743","MP3023700-W228743","Peer amount","amount","Recommended amount at the 100th percentile of 79 comparable works (robust z 7.9)."
"MP3023700-W228743","MP3023700-W228743","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 86%). Before/after - 2024: 177 works at a median of Rs 627,534 -> 2025: 125 works at a median of Rs 1,170,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3023700-W228743","MP3023700-W228743","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017264-W174294","MP3017264-W174294","Peer amount","amount","Recommended amount at the 99th percentile of 1552 comparable works (robust z 30.7)."
"MP3017264-W174294","MP3017264-W174294","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 84%). Before/after - 2023: 87 works at a median of Rs 500,000 -> 2024: 12 works at a median of Rs 918,416. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017264-W174294","MP3017264-W174294","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3023700-W192647","MP3023700-W192647","Peer amount","amount","Recommended amount at the 99th percentile of 602 comparable works (robust z 9.9)."
"MP3023700-W192647","MP3023700-W192647","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 86%). Before/after - 2024: 177 works at a median of Rs 627,534 -> 2025: 125 works at a median of Rs 1,170,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3023700-W192647","MP3023700-W192647","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017338-W142762","MP3017338-W142762","Peer amount","amount","Recommended amount at the 99th percentile of 113 comparable works (robust z 448.8)."
"MP3017338-W142762","MP3017338-W142762","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 192 works at a median of Rs 50,000 -> 2024: 21 works at a median of Rs 780,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017338-W142762","MP3017338-W142762","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3018396-W93481","MP3018396-W93481","Peer amount","amount","Recommended amount at the 97th percentile of 152 comparable works (robust z 2.9)."
"MP3018396-W93481","MP3018396-W93481","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 94%). Before/after - 2023: 50 works at a median of Rs 1,134,160 -> 2024: 73 works at a median of Rs 2,195,272. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3018396-W93481","MP3018396-W93481","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017338-W147629","MP3017338-W147629","Peer amount","amount","Recommended amount at the 100th percentile of 7203 comparable works (robust z 8.7)."
"MP3017338-W147629","MP3017338-W147629","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 192 works at a median of Rs 50,000 -> 2024: 21 works at a median of Rs 780,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017338-W147629","MP3017338-W147629","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017242-W259571","MP3017242-W259571","Peer amount","amount","Recommended amount at the 100th percentile of 120 comparable works (robust z 446.6)."
"MP3017242-W259571","MP3017242-W259571","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 41 works at a median of Rs 499,000 -> 2026: 49 works at a median of Rs 3,400,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017242-W259571","MP3017242-W259571","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019254-W266612","MP3019254-W266612","Peer amount","amount","Recommended amount at the 97th percentile of 154 comparable works (robust z 0.0)."
"MP3019254-W266612","MP3019254-W266612","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 14 works at a median of Rs 802,332 -> 2025: 22 works at a median of Rs 2,456,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019254-W266612","MP3019254-W266612","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017328-W218811","MP3017328-W218811","Peer amount","amount","Recommended amount at the 100th percentile of 40 comparable works (robust z 5.9)."
"MP3017328-W218811","MP3017328-W218811","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 90 works at a median of Rs 500,000 -> 2025: 23 works at a median of Rs 3,754,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017328-W218811","MP3017328-W218811","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017338-W147610","MP3017338-W147610","Peer amount","amount","Recommended amount at the 100th percentile of 6132 comparable works (robust z 343.4)."
"MP3017338-W147610","MP3017338-W147610","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 192 works at a median of Rs 50,000 -> 2024: 21 works at a median of Rs 780,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017338-W147610","MP3017338-W147610","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3018940-W51863","MP3018940-W51863","Peer amount","amount","Recommended amount at the 100th percentile of 44 comparable works (robust z 14.9)."
"MP3018940-W51863","MP3018940-W51863","Peer duration","duration","Open for longer than 91% of comparable works still in progress."
"MP3018940-W51863","MP3018940-W51863","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 83%). Before/after - 2023: 6 works at a median of Rs 2,309,328 -> 2024: 124 works at a median of Rs 400,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3018940-W51863","MP3018940-W51863","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017324-W244462","MP3017324-W244462","Peer amount","amount","Recommended amount at the 100th percentile of 7203 comparable works (robust z 8.0)."
"MP3017324-W244462","MP3017324-W244462","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 262 works at a median of Rs 287,000 -> 2025: 69 works at a median of Rs 1,180,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017324-W244462","MP3017324-W244462","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3044251-W155524","MP3044251-W155524","Peer amount","amount","Recommended amount at the 100th percentile of 675 comparable works (robust z 23.9)."
"MP3044251-W155524","MP3044251-W155524","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 12 works at a median of Rs 600,000 -> 2025: 9 works at a median of Rs 3,500,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3044251-W155524","MP3044251-W155524","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042566-W155197","MP3042566-W155197","Peer amount","amount","Recommended amount at the 100th percentile of 1855 comparable works (robust z 6294.4)."
"MP3042566-W155197","MP3042566-W155197","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 23 works at a median of Rs 300,000 -> 2024: 26 works at a median of Rs 1,675,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042566-W155197","MP3042566-W155197","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017485-W141110","MP3017485-W141110","Peer amount","amount","Recommended amount at the 100th percentile of 401 comparable works (robust z 14.4)."
"MP3017485-W141110","MP3017485-W141110","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 156 works at a median of Rs 500,000 -> 2026: 29 works at a median of Rs 1,100,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017485-W141110","MP3017485-W141110","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019221-W27287","MP3019221-W27287","Peer amount","amount","Recommended amount at the 100th percentile of 308 comparable works (robust z 6.7)."
"MP3019221-W27287","MP3019221-W27287","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 52%). Before/after - 2025: 135 works at a median of Rs 448,000 -> 2026: 224 works at a median of Rs 216,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019221-W27287","MP3019221-W27287","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042485-W221826","MP3042485-W221826","Peer amount","amount","Recommended amount at the 100th percentile of 16171 comparable works (robust z 7.9)."
"MP3042485-W221826","MP3042485-W221826","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 109 works at a median of Rs 205,000 -> 2024: 39 works at a median of Rs 942,500. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042485-W221826","MP3042485-W221826","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017389-W222829","MP3017389-W222829","Peer amount","amount","Recommended amount at the 95th percentile of 45 comparable works (robust z 4.0)."
"MP3017389-W222829","MP3017389-W222829","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 262 works at a median of Rs 249,853 -> 2024: 108 works at a median of Rs 499,448. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017389-W222829","MP3017389-W222829","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017305-W70361","MP3017305-W70361","Peer amount","amount","Recommended amount at the 99th percentile of 1462 comparable works (robust z 19.5)."
"MP3017305-W70361","MP3017305-W70361","Peer duration","duration","Open for longer than 95% of comparable works still in progress."
"MP3017305-W70361","MP3017305-W70361","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 94%). Before/after - 2023: 50 works at a median of Rs 1,134,160 -> 2024: 73 works at a median of Rs 2,195,272. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017305-W70361","MP3017305-W70361","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019160-W51008","MP3019160-W51008","Peer amount","amount","Recommended amount at the 93th percentile of 598 comparable works (robust z 7.1)."
"MP3019160-W51008","MP3019160-W51008","Peer duration","duration","Open for longer than 91% of comparable works still in progress."
"MP3019160-W51008","MP3019160-W51008","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 58 works at a median of Rs 399,063 -> 2025: 74 works at a median of Rs 1,000,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019160-W51008","MP3019160-W51008","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042546-W156804","MP3042546-W156804","Peer amount","amount","Recommended amount at the 100th percentile of 66 comparable works (robust z 7.1)."
"MP3042546-W156804","MP3042546-W156804","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 230 works at a median of Rs 349,867 -> 2026: 36 works at a median of Rs 2,750,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042546-W156804","MP3042546-W156804","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3043284-W204089","MP3043284-W204089","Peer amount","amount","Recommended amount at the 98th percentile of 4407 comparable works (robust z 12.5)."
"MP3043284-W204089","MP3043284-W204089","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 47 works at a median of Rs 200,000 -> 2026: 12 works at a median of Rs 500,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3043284-W204089","MP3043284-W204089","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017342-W162586","MP3017342-W162586","Peer amount","amount","Recommended amount at the 100th percentile of 7203 comparable works (robust z 8.1)."
"MP3017342-W162586","MP3017342-W162586","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 92%). Before/after - 2023: 23 works at a median of Rs 1,552,000 -> 2024: 206 works at a median of Rs 118,971. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017342-W162586","MP3017342-W162586","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017342-W162587","MP3017342-W162587","Peer amount","amount","Recommended amount at the 100th percentile of 7203 comparable works (robust z 8.1)."
"MP3017342-W162587","MP3017342-W162587","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 92%). Before/after - 2023: 23 works at a median of Rs 1,552,000 -> 2024: 206 works at a median of Rs 118,971. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017342-W162587","MP3017342-W162587","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042558-W144148","MP3042558-W144148","Peer amount","amount","Recommended amount at the 98th percentile of 43 comparable works (robust z 7.7)."
"MP3042558-W144148","MP3042558-W144148","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 60%). Before/after - 2024: 63 works at a median of Rs 100,000 -> 2025: 478 works at a median of Rs 160,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042558-W144148","MP3042558-W144148","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017242-W259562","MP3017242-W259562","Peer amount","amount","Recommended amount at the 99th percentile of 120 comparable works (robust z 424.3)."
"MP3017242-W259562","MP3017242-W259562","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 41 works at a median of Rs 499,000 -> 2026: 49 works at a median of Rs 3,400,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017242-W259562","MP3017242-W259562","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017368-W239492","MP3017368-W239492","Peer amount","amount","Recommended amount at the 100th percentile of 463 comparable works (robust z 32.0)."
"MP3017368-W239492","MP3017368-W239492","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 67%). Before/after - 2024: 89 works at a median of Rs 300,000 -> 2025: 99 works at a median of Rs 500,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017368-W239492","MP3017368-W239492","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3018396-W93498","MP3018396-W93498","Peer amount","amount","Recommended amount at the 100th percentile of 679 comparable works (robust z 14.2)."
"MP3018396-W93498","MP3018396-W93498","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 94%). Before/after - 2023: 50 works at a median of Rs 1,134,160 -> 2024: 73 works at a median of Rs 2,195,272. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3018396-W93498","MP3018396-W93498","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3018373-W96613","MP3018373-W96613","Peer amount","amount","Recommended amount at the 100th percentile of 32 comparable works (robust z 130.0)."
"MP3018373-W96613","MP3018373-W96613","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 97%). Before/after - 2024: 7 works at a median of Rs 6,000,000 -> 2025: 278 works at a median of Rs 150,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
